"";"ar";"motstand";"sesong";"publikum";"antall_polser";"antall_kaffe";"polser_kjop";"kaffe_kjop"
"1";2022;"Stjernen";"pre";497;418;431;1000;800
"2";2022;"Comet Halden";"pre";483;394;91;1000;800
"3";2022;"Lorenskog IK";"pre";905;51;324;1000;800
"4";2022;"Comet Halden";"pre";600;478;344;1000;800
"5";2022;"Frisk Asker Hockey";"pre";584;225;126;1000;800
"6";2022;"Frisk Asker Hockey";"pre";644;323;21;1000;800
"7";2022;"Sparta Sarpsborg";"pre";573;98;361;1000;800
"8";2022;"Storhamar";"mid";1290;727;1001;1000;800
"9";2022;"Comet Halden";"mid";632;69;461;1000;800
"10";2022;"Oilers";"mid";941;408;100;1000;800
"11";2022;"Stjernen";"mid";588;204;303;1000;800
"12";2022;"Lorenskog IK";"mid";923;709;286;1000;800
"13";2022;"Valerenga";"mid";627;149;540;1000;800
"14";2022;"Storhamar";"mid";1323;914;194;1000;800
"15";2022;"Sparta Sarpsborg";"mid";637;85;285;1000;800
"16";2022;"Stjernen";"mid";629;118;228;1000;800
"17";2022;"Frisk Asker Hockey";"mid";718;516;156;1000;800
"18";2022;"Valerenga";"end";1122;996;467;1000;800
"19";2022;"Arctic Eagles Narvik";"end";980;800;891;1000;800
"20";2022;"Oilers";"end";1162;695;1006;1000;800
"21";2022;"Oilers";"end";971;602;13;1000;800
"22";2022;"Sparta Sarpsborg";"end";865;515;131;1000;800
"23";2022;"Storhamar";"end";1595;305;213;1000;800
"24";2022;"Valerenga";"end";1237;977;607;1000;800
"25";2022;"Arctic Eagles Narvik";"end";752;674;174;1000;800
"26";2022;"Lorenskog IK";"end";898;590;616;1000;800
"27";2022;"Arctic Eagles Narvik";"end";840;696;599;1000;800
"28";2023;"Stjernen";"pre";593;352;508;1100;800
"29";2023;"Comet Halden";"pre";476;149;316;1100;800
"30";2023;"Lorenskog IK";"pre";618;135;157;1100;800
"31";2023;"Comet Halden";"pre";469;27;62;1100;800
"32";2023;"Frisk Asker Hockey";"pre";831;291;553;1100;800
"33";2023;"Frisk Asker Hockey";"pre";567;470;308;1100;800
"34";2023;"Sparta Sarpsborg";"pre";696;368;477;1100;800
"35";2023;"Storhamar";"mid";1471;1088;460;1100;800
"36";2023;"Comet Halden";"mid";891;607;477;1100;800
"37";2023;"Oilers";"mid";912;579;56;1100;800
"38";2023;"Stjernen";"mid";606;2;412;1100;800
"39";2023;"Lorenskog IK";"mid";915;789;42;1100;800
"40";2023;"Valerenga";"mid";705;318;155;1100;800
"41";2023;"Storhamar";"mid";1026;286;545;1100;800
"42";2023;"Sparta Sarpsborg";"mid";829;606;581;1100;800
"43";2023;"Stjernen";"mid";667;638;334;1100;800
"44";2023;"Frisk Asker Hockey";"mid";859;470;710;1100;800
"45";2023;"Valerenga";"end";1108;984;231;1100;800
"46";2023;"Arctic Eagles Narvik";"end";1003;527;426;1100;800
"47";2023;"Oilers";"end";1111;838;923;1100;800
"48";2023;"Oilers";"end";1177;111;274;1100;800
"49";2023;"Sparta Sarpsborg";"end";858;250;281;1100;800
"50";2023;"Storhamar";"end";1612;957;411;1100;800
"51";2023;"Valerenga";"end";975;276;85;1100;800
"52";2023;"Arctic Eagles Narvik";"end";912;449;599;1100;800
"53";2023;"Lorenskog IK";"end";1028;499;567;1100;800
"54";2023;"Arctic Eagles Narvik";"end";1062;194;50;1100;800
"55";2024;"Stjernen";"pre";688;410;510;1200;800
"56";2024;"Comet Halden";"pre";632;3;410;1200;800
"57";2024;"Lorenskog IK";"pre";729;150;416;1200;800
"58";2024;"Comet Halden";"pre";651;226;566;1200;800
"59";2024;"Frisk Asker Hockey";"pre";780;294;433;1200;800
"60";2024;"Frisk Asker Hockey";"pre";924;73;90;1200;800
"61";2024;"Sparta Sarpsborg";"pre";836;266;193;1200;800
"62";2024;"Storhamar";"mid";1271;1075;689;1200;800
"63";2024;"Comet Halden";"mid";577;399;161;1200;800
"64";2024;"Oilers";"mid";1024;405;87;1200;800
"65";2024;"Stjernen";"mid";792;114;229;1200;800
"66";2024;"Lorenskog IK";"mid";1282;726;24;1200;800
"67";2024;"Valerenga";"mid";950;410;388;1200;800
"68";2024;"Storhamar";"mid";1508;1357;1124;1200;800
"69";2024;"Sparta Sarpsborg";"mid";696;232;202;1200;800
"70";2024;"Stjernen";"mid";847;636;582;1200;800
"71";2024;"Frisk Asker Hockey";"mid";812;552;283;1200;800
"72";2024;"Valerenga";"end";1034;177;755;1200;800
"73";2024;"Arctic Eagles Narvik";"end";1129;571;608;1200;800
"74";2024;"Oilers";"end";1157;899;417;1200;800
"75";2024;"Oilers";"end";1236;970;1031;1200;800
"76";2024;"Sparta Sarpsborg";"end";1196;1032;692;1200;800
"77";2024;"Storhamar";"end";1462;1345;590;1200;800
"78";2024;"Valerenga";"end";1134;310;642;1200;800
"79";2024;"Arctic Eagles Narvik";"end";1163;242;1068;1200;800
"80";2024;"Lorenskog IK";"end";1455;1216;199;1200;800
"81";2024;"Arctic Eagles Narvik";"end";1107;732;90;1200;800
