id;group;baseline;post
1;control;42,3254924382952;46,9055890822581
2;control;59,6443492906985;58,6879545380225
3;control;42,6571863526884;46,6736024333566
4;control;53,3275004220910;62,7648727386340
5;control;55,4658564019779;62,8352623075235
6;control;46,0439870432637;49,4303295048287
7;control;42,4767769445015;44,3765903773352
8;treatment;40,7030449086650;41,7390527763783
9;treatment;53,3958922557480;63,2853512302700
10;treatment;35,3654258451719;40,3465963917641
11;treatment;48,4621084353640;44,5942237310072
12;treatment;43,1050063343569;44,3267936599053
13;treatment;23,3511064351206;15,7565573337714
14;treatment;31,9114954392681;32,9352012087149
