eksamen;kjonn;timer_per_uke;forelesning;arbeidskrav
1;0;24,2;1;1
1;0;22,2;0;0
0;0;10,3;0;1
0;0;18,0;0;0
1;0;26,9;0;0
1;0;27,9;1;0
1;0;11,9;1;0
1;0;20,4;0;0
0;0;7,7;0;1
0;0;21,4;1;0
1;0;35,0;0;0
0;0;31,6;1;1
1;0;21,6;1;1
1;0;33,9;0;0
1;0;31,4;0;0
1;0;24,9;0;0
1;0;14,5;1;0
1;0;22,0;1;1
1;0;33,3;1;0
1;0;28,8;0;0
0;0;18,0;0;1
0;0;2,1;1;0
0;0;17,3;1;0
0;0;2,8;1;1
0;0;11,3;0;0
0;0;20,3;1;1
0;0;17,1;0;0
0;0;15,3;1;1
0;0;23,0;0;0
1;0;21,5;1;1
0;0;5,5;0;0
0;0;23,2;0;0
1;0;33,7;1;0
1;0;25,8;1;0
0;0;10,2;1;1
1;0;9,6;1;1
1;0;27,6;1;0
0;0;6,4;0;1
0;0;20,8;1;1
0;0;17,5;0;1
1;0;34,9;0;0
0;0;16,4;0;1
1;0;15,7;1;0
1;0;32,3;0;0
0;0;14,3;1;1
1;0;23,7;1;1
1;0;26,3;1;1
1;0;21,0;0;1
1;0;17,2;1;1
1;0;30,6;1;0
1;0;20,0;1;1
1;0;20,7;0;0
1;1;34,9;0;0
1;1;44,2;1;1
0;1;24,6;0;0
0;1;27,9;1;0
0;1;7,7;1;1
1;1;24,9;1;1
0;1;10,7;1;1
0;1;22,0;1;0
0;1;3,6;1;0
0;1;13,0;0;0
0;1;8,5;1;1
1;1;22,6;0;0
0;1;31,3;0;1
1;1;33,1;1;0
1;1;27,3;0;0
0;1;12,7;0;0
0;1;25,3;0;0
0;1;3,5;0;0
1;1;23,1;0;1
0;1;1,3;1;1
0;1;5,9;1;0
0;1;15,9;0;0
0;1;0,6;1;0
1;1;32,6;0;0
0;1;0,7;1;0
0;1;13,3;0;0
0;1;5,9;0;0
1;1;36,8;1;1
1;1;25,6;0;0
0;1;15,8;0;1
0;1;27,1;0;0
1;1;27,1;0;1
0;1;23,8;0;0
0;1;20,4;0;1
0;1;26,4;1;0
1;1;45,1;1;1
0;1;4,3;0;1
1;1;17,6;1;1
0;1;13,5;1;1
0;1;16,2;1;1
1;1;19,3;1;1
1;1;32,4;1;0
1;1;25,6;1;1
0;1;1,5;1;0
0;1;0,8;0;0
1;1;29,2;0;0
1;1;20,3;1;1
1;1;33,2;1;1
0;1;9,4;1;1
1;1;23,5;0;0
0;1;6,0;1;0
1;1;27,0;1;0
